id,prediction_bert,review_body
69552,negation,the cd could not be opened. could not install the program. borrowed a friends cd of adobe pagemill 3.0 and it loaded and installed fine. i used the serial number of this cd to register the software with adobe.
98671,negation,"after using genie backup pro 8 to backup my two hard drives for years, i update(?) to genie timeline pro 2 and was shocked to learn that i could only backup one hard drive,  period.  i really don't think this qualifies as a pro series."
67967,negative,"hated this program, and actually ended up not using it. confusing, and phone help is non existent, regardless of what they say. i was on hold for over 45 minutes, twice, and still got no one on the phone. terrible"
60423,negative,"another waste of money, not worth it, tossed it into trash,  didn't like it never again.  don't buy it thank"
16456,positive,"bought it to teach myself autocad. runs good. had issues with 64 bit machine, but loaded up quick on a 32 bit machine."
35944,negative,you don't need it!  windows 7 has the function built in.
29426,negative,"says it is win 8 compatible, but it never loaded.  contacted customer support and their suggestion of d:setup.exe doesn't work either."
68262,positive,"norton 360 2013, 1 user for 3 computers is a great computer protector. it's convenient if you have more than 1 computer to use it on. the price was also right."
60170,negative,for some reason it doesn't recognize my voice it doesn't work well for me at all i would not recommend it for anyone
69404,positive,it was a great past time for my mom when she came to visit.  older folks need to keep their minds sharp and she loved playing every day.  glad it was easy enough to use.  computers scare older folks but this was easy to play.
130036,negative,don't believe the claim that this is mac compatible!!!!!  windows only... ugh!!!!!!!!
128458,negative,this software is almost completely worthless.  it copied not one of about 15 dvds i own that i tried to copy.  what a colossal waste of money.  look elsewhere.
87352,negative,don't waste your money buying this version. act no longer supports this product...so i had to purchase the 2012 version instead. it was great up until that time. i am happy with the new version.
130535,negation,i should have read the others reviews. this software does not handle multiple identities and multiple users for the same computer. my computer was a mess after using this software. not worth the money!!!!
35997,negative,doesn't pick up my accent (i'm from michigan) or put any punctuation in when i try to get it typed. ended up &#34;writing&#34; a whole paper and had to spend the next few hours putting the punctuation in :(
107691,negative,maybe a good game i don't know. can not get to work. and there is not return.
53206,negation,"it's very rigid; the editing is minimum. the insert, delete, or backspace, etc. function keys do not go hand in hand<br />when editing a pdf file."
54343,negative,i was very disappointed with the products performance this time. didn't work as expected and actually caused me problems with my computer that took me a long time to fix. don't recommend this product for 2013.
93862,negative,"junk, junk, and did i say more junk????? don't waste your money on this electronic hunk of inferior junk.  spend your time and money on something more worth while.  do your internet research (i didn't) and you will see."
54546,positive,i have had great success protecting my computer system with avg. i highly recommend it for both personal and business use.<br /><br />scott a. miller<br />owner totally unique cabins<br />[...]
2234,negative,bad launch for this os. wasn't worth my time or effort to make it work. downgraded to xp until windows 7 released and then upgraded to that instead. sad that i wasted so much money buying this.
134202,negative,"if you are looking for an ephemeris for daily transits, you will not find  it here.  the daily scope on the disc that i have doesn't properly match  day and date, for instance, tuesday september 4, 2000 (actual date was  monday, september 4, 2000)."
24894,negative,never could install it.. worthless.... don't know why but it never would install.. waste of money
123050,multipolarity,"the description says \\""surround sound\\"" but the pictures show only a 2 speaker free oem version. not the full 5.1 surround speaker retail version."
4250,negative,unable t download. money wasted. i have used this last year on three pc and it worked well. 2015 is useless and no support.
55743,neutral,too complicated for a 90 year old man!!!  explanations and glossary of terms would help a lot.  why no simple manual for people who do not have the expertise or experience in this field?
123621,negative,"used ps ad pse for years and loved it.  pse does not and per adobe will not work on mac os 10.5.  too bad, now i use gimp"
14165,negative,"i bought this disc and tried it on 3 computers. it did not boot the first two computers, and it wasn't even recognized on the third. it was a waste of my money."
69003,multipolarity,"product is good as expect, but need to know how to skip system compatible scan when installing software in windows 8. finding how to skip it was horrible experience, not recommend to pc newer"
91939,positive,"i haven't used it a very great deal yet but what i have seen so far, it is a great product. i would recommend it to anyone who is not a typist."
16194,positive,fix-it worked great and got pc back up and running with no issues
126091,negative,"i have never had a product perform as badly as this one has - it simply is a very slow process, it doesn't deliver an image that is complete or actually makes a boot image as promised.  i want to return it."
34196,negation,it sicker it did not come with the start up codes
111629,multipolarity,"this may be entertaining for kids up to about the age of 7 or 8, but for an adult this doesn't even come close to what i would consider an intellectual workout"
67014,positive,a must have for other vocaloid enthusiasts! easy to use and has good quality. i would recommend it. the only drawback is the price.
56419,negative,don't waste your money. plenty of free stuff to download and try to make sure it works. this could not burn any of my dvds. huh? isn't that why i threw my money away on this? negative 5 stars.
21364,negation,i no longer use this product. nuance has not kept up with the mobile technology scene. the dictation tools provided with both android and iphone operating systems are better than this product.
102238,neutral,this is a good update from version 7 which i had before.  i only wish they gave a little more instruction.  some of the stuff is really complicated
26385,multipolarity,"great value, but not totally water resistant. i'd say if it's gonna rain, stick it in the backpack. also, with my 15.9&#34; laptop, i have room, for a notebook (paper that is), two chargers and my wireless mouse. very pleased with my purchase!"
7708,positive,this worked great.  i needed 32 bit windows 7 on my small laptop.  it worked flawlessly
122809,negative,i upgraded from quicken 2006. waste of money and time. it really offered no real improvements over that version. in many ways a step backward. too bad i cannot give it 0 stars
65262,negative,i purchased for mac and it doesn't work<br /><br />i don't want to spend my time returning it!<br /><br />i knew cheap product don't work
93830,positive,wouldn't buy any other antivirius...  love this is a 3 computer deal...  awesome product!!! love the price!!  better than i can find anywhere else!!
121083,multipolarity,"if you have the 2007 edition, there is no need to buy this. i'm so disappointed in this hallmark program. i wish it had better graphics to choose from. most of them imo were cheesy cheesy generic-like clipart. it gets the job done, but it's not fun."
116892,positive,"my 6 year old grandson loves this cd and works with it often.  he's gotten very good with the money and has greatly improved with time.  although fractions are not covered in school yet, he is mastering the concept.  thank you."
98569,positive,it is a good product  i got it on time  the quality is good as well  just good words i can say
128531,negative,"this was the most disappointing and useless purchase ever. despite exhausting voice training, it typed everything except what i said. don't waste your money. i would'nt even give it one star."
38506,negation,i all ready had a more advanced quicken program and didn't realize it. this program was of no use to me.
115784,positive,i am very pleased with my purchase.  i received the product when i was told i would and it was in perfect condition.
29071,negative,"this proved absolutely useless.  impossible to enter destinations.  in map mode, it depicted towns but not roads. a waste of money."
117412,negative,miserable program! nothing i've done gives me access to my database now...i've lost huge amounts of data even though i've kept a full backup myself...it won't let me open my backup! don't buy this program!
115211,negative,product is lacking enthusiasm and punch. doesn't have any real subject matter to it either. might as well just stare at the box.
39242,positive,"amazing!! easy install, great performance!!!"
119601,positive,i have seen this dvd several times and it does a very good job of explaining the basics of painter x.  i am new to the program and found the information to be very helpful.  mr. sutton is easy to listen to and does a good job with the tutorials.
53918,negation,i guess i misread this or something. it will not work on my system. i tried and tried and tried.
125200,positive,"combined with outlook, i have the programs of office standard for over $200 less than office standard.  great programs."
119243,positive,"this is a truly great game; difficult, but still amazing. walkthroughs can be found online. pity infocom went under before they finished the second one!"
55639,multipolarity,"i would love to own this, but the price for this is simply out of hand.  git, would you manufacture more of these, please?  i don't care about the collectable aspect - i would just like to read the books.  thank you."
56229,negation,too complicated to accomplish simple art moves..a college degree needed here and would be too expensive. did not suit me . a lost investment for me.still searching for a product equal to photosuite 4 platinum.
42100,negative,i have tried to use this with many different videos i thought it was because they were old disney movies when it comes to burning them it doesn't happen. oh well i will have find something else.
72831,multipolarity,"i am still trying to work with this, but there is nonething in the preview screen when i hook everything up.  i have sound, but no preview of what is playing.  what am i doing wrong???  anyone please help."
84502,multipolarity,"aaa+++ the printmaster 18.1 does everything they said, that's why the 5 stars. but, i don't like it. doesn't do what i was hoping for, but still a great product,"
20154,negative,"payroll 2015 gives a &#34;uxp error&#34;. according to intuit, this is happening for many customers and they don't know how to fix it.  be cautious about buying this."
4537,negative,horrible experiance. bought powerdvd11 (50$) and used it for a year or so. it stopped working and prompted me to upgrade for another 40$. no way - stay away
81346,negative,"i don't know if you see this review is helpful or not but the, by 10th april 2014 microsoft will end the support of this product. so you think it worth it to spend $90 on a license that'll only last for 1 year?????<br /><br />get a windows 7!"
21030,negative,i'm a long time tt customer. no more. i can't believe they are nickel and dimming their customers like this. take schedule c out of the deluxe version?  doesn't make any sense! i switched to h&r block software. http://goo.gl/iuqhvn
17508,positive,great for your xp vm!  have an old game or other software that refuses to run in winblows 7? just make a vm of xp & add this little baby for fun...
103481,negative,"total waste of money!!! support is useless. product works for a while,then crashes. wont copy disc then when it does start to burn and is nearly finished it just stops. nothing but a major headache!!!"
45607,negative,hate mandatory spend some money updates. i pay annually for payroll but that wont work if you dont buy new base software every 2 years
8241,positive,"excellent blu-ray player, currently using with windows 8 pro. played every blu-ray i gave it. recommended. would buy again.<br />now using windows 10 pro, works fine, only negative it takes it's time loading some blu-rays, but they do load and play."
105334,positive,excellent service and very fast mailing it. very satisfied with the game. also the price was excellent. thanks for the fast service.
33847,negative,"terrible information.  it is good for fingerspelling foundation, not the advanced one.  i don't recommend you, asl teachers or reseachers, to buy this.  it's good for basic fingerspelling to learn."
94769,negative,i bought this without realizing what i was getting. this is a product from 1987 and won't work on a mac os older than about 1990. i feel i've been taken....but i'm sure i have no legal recourse.
27374,neutral,not so easy. directions are not very clear and it takes a very long time for each album to copy to a cd.
96110,negative,"it's hard to love a program that always crashes and the producers don't answer your email queries.  the program is unresponsive and doesn't go to parts you want to use, such as convention practice. way too buggy."
67856,negation,"this program obviously hated me and i, in turn, hated it as well. too complicated, too many error messages, and not worth the effort to learn. i prefer crazytalk animator pro, for my particular needs."
77501,multipolarity,never had a problem with turbo before but this one was &#34;awful&#34;; had to call them multiple times et still was unable to get it transmitted & in the end had to buy another to get my taxes in on time.
