id,review_body,sentiment,vader_score,textblobscore,weighted_sentiment_label,weighted_score,prediction,hybrid_label,hybrid_score
95229,bought this for asus maximus v gene to try to get virtual 5.1 through the headset.  doesn't work.  says that the software couldn't find a supported product.<br /><br />sigh.,negative,-0.217,0.0,negative,-0.13,0,negative,-0.565
98041,we were very disappointed in the software.(we purchased at target)  it is boring to listen to and does not have any hands-on problems to follow up the skills it teaches.  completely worthless at the middle school level.  do not waste your money!!!,negative,-0.879,-0.516,negative,-0.734,0,negative,-0.867
68474,"i purchased this for a build that is not in my house..<br /><br />in a world without walls and fences, you don't need window$ and gate$",negative,0.0,0.0,neutral,0.0,0,negative,-0.5
39041,i don't know what happened.  it didn't work so i called to quickbooks and they offered me different software. more pricier one. returned the original one but never get my refund back. very sad.,negative,-0.605,0.045,negative,-0.345,0,negative,-0.672
126091,"i have never had a product perform as badly as this one has - it simply is a very slow process, it doesn't deliver an image that is complete or actually makes a boot image as promised.  i want to return it.",negative,-0.077,-0.247,negative,-0.145,0,negative,-0.572
52841,"terrible program... didn't work .. codes wrong, too cumbersome, should be retitled un-easy web ! tossed it out...don't bother with this... just flush your money down the drain..",negative,-0.666,-0.594,negative,-0.637,0,negative,-0.819
85547,i am fairly good and figuring things out. but this was hard for me to use. so its pretty much a waste of money. i tied it a couple times and just gave up.. i wouldnt bother unless you really know computers.,negative,0.602,0.132,positive,0.414,0,negative,-0.293
108206,"this is the same thing as 2007 except for a few thigs that don't work anymore - like freeze panes. if yout old document had frozen, the data above the freeze is gone. they totally detroyed help.",negative,0.708,-0.02,positive,0.417,0,negative,-0.292
103488,i don't know if it is the way i set it up or it is the software but this new version does not play well with the previous versions. for some reason it thinks that the old versions are locked. i have difficulty in unlocking them.,negative,-0.783,0.023,negative,-0.461,3,negation,0.0
92867,doesn't work! it requies a fully funtional computer. witch defeats the purpose. windows back-up is better. i don't recomend this,negative,-0.352,0.5,neutral,-0.011,0,negative,-0.506
27932,doesn't work as advertised. i missed the return window and am stuck with the product. don't buy it. still years away from being functional.,negative,-0.494,0.0,negative,-0.296,0,negative,-0.648
16997,there is a huge bust in the massachusetts state form that has cost me money.  when i try to discuss this with turbo tax representative they hang up the phone on me after making me wait for 30 minutes.<br /><br />there guarantee is rubbish.,negative,0.511,0.4,positive,0.467,0,negative,-0.267
102022,i purchased this product from amazon before i did my homework and found that it will not work (after a frustrating hour trying to download it onto my imac 07 leopard) with any intel based imac.  wasted money but lessons learned.,negative,-0.402,-0.3,negative,-0.361,0,negative,-0.681
118927,i made a mistake in not reading the reviews before buying this product.  but don't ever buy used intuit software.  you can't use it at all.,negative,-0.178,0.0,negative,-0.107,0,negative,-0.553
120729,this item was purchased for our church but we had to spend more $ on a diff item because this once freezes and all features do not work. horrible,negative,0.561,-0.25,positive,0.237,0,negative,-0.382
93747,complete waste of money. tried putting the code in each time the same saying code does not exist . still not able to use code. horrible !!!!,negative,-0.816,-0.27,negative,-0.598,0,negative,-0.799
121134,"i received this product with no micro soft code, due to illness i was unable to attempt load it into my computer for aprox. a month. i don't think i will order from amazon again.  ripped off again by mail order.  pat kennedy",negative,-0.494,-0.175,negative,-0.366,0,negative,-0.683
32155,this program doesn't load.  it worked for about five days but now just hangs up and doesn't do anything.,negative,0.0,0.0,neutral,0.0,0,negative,-0.5
17092,"it had every thing in it, but what i needed. the microsoft money i had before had a place to list each check and deposits and be able to check them off with the monthly bank statement.  or don't people do that any more?",negative,0.0,0.5,positive,0.2,4,multipolarity,0.0
50797,i have three other i spy computer games that the kids love.  this one took me three times to load and then couldn't be play as i supposedly did not have enough memory to run it.  this game was a waste of money.,negative,0.094,-0.045,neutral,0.038,0,negative,-0.481
108892,"while i am not a geek, i have used computers for 27 years in business.  i was unable to install and activate this product.  the user guide is useless. waste of time and money.",negative,-0.613,-0.4,negative,-0.528,0,negative,-0.764
103003,this product didn't work as well as the readiris pro 9 i was replacing. i upgraded as i had a big project of scanning obits for my genealogy society.  don't waste your money on it as i did! i should have listened to the other reviews.,negative,0.205,-0.125,positive,0.073,0,negative,-0.463
208,"what horrible &#34;software&#34; this is! its clumsy, user-hostile interface will leave your hands aching. whether ocring text in chinese, french, or english, expect frequent crashes and meaningless error messages.",negative,-0.915,-0.243,negative,-0.646,0,negative,-0.823
7697,worthless.  don't waste your money.,negative,-0.145,-0.5,negative,-0.287,0,negative,-0.644
22172,come on this crappy program doesn't work on window's 7 very well. also it does not have a good auto trace feature to copy faces etc.. from a picture. go back to work avanquest. old version was waaaay better.,negative,-0.332,0.3,negative,-0.079,0,negative,-0.54
124680,i'm sure this is a good product.  i haven't been able to get it to work yet.  i am going to have to hire someone to come in to do it for me.  it could be my machine.  it said for me----well the box doesn't say that. but i haven't given up on it yet.,negative,0.382,0.567,positive,0.456,0,negative,-0.272
92832,i cannot use this product for my mac......really i have tried multiple times to run it and now i have wasted $80 for a software system i can't upgrade to! this is totally unexceptable.....,negative,-0.541,-0.083,negative,-0.358,0,negative,-0.679
17027,"if i could give this no stars, i would. complete waste of money. i purchased this thinking it was going to be full of horse graphics. it's mostly tribal horse art. definitely not worth the money.",negative,-0.505,0.12,negative,-0.255,0,negative,-0.628
107887,advertised to work with windows 7. it did not. had to return program. annoying and waste of my time.,negative,-0.67,-0.5,negative,-0.602,0,negative,-0.801
108918,"i am so sick of trying to make my printer work with 3.0, mac pro, bootcamp & 7 pro   what a waste of time  don't bother to buy support. no one will help.",negative,-0.422,-0.457,negative,-0.436,0,negative,-0.718
131123,do not waste your money on this version. i made the mistake of installing it and uninstalling my previous version. now i'm screwed. this crashes most of the time and when it doesn&quot;t its not nearly as good as the older version.,negative,-0.688,0.05,negative,-0.393,0,negative,-0.696
71098,"awkward, difficult to use.  it did not do what i wanted it to do.  it was a waste of money.",negative,-0.71,-0.433,negative,-0.599,0,negative,-0.8
29224,"careful buying this product! not as advertised! i don't get it. i didn't get any dvd-rom or software. only audio cd's and forget it. no book, no box. wow! someone there messed  this order up; and that's giving them the benefit of the doubt!",negative,-0.654,0.0,negative,-0.392,0,negative,-0.696
70503,don't want it on my pc anymore because it freeze's it up&my kids think it's way to easy??i'd like to return it&i'll just get a app for my tablet??,negative,0.5,0.0,positive,0.3,0,negative,-0.35
107636,this is nothing more than a $20 internet browser.  can get every channel that is on here through any internet browser.  the only thing it does is make it easier to find.  nothing more.  don't waste your money.,negative,0.155,0.2,positive,0.173,0,negative,-0.414
79901,i have used this product for many years so i am mystified as to why it messed up my system so bad this year.  i am working on it and hope that i can get it fixed,negative,-0.611,-0.033,negative,-0.38,0,negative,-0.69
60363,the tech support at this company would rather tell site admins to switch dns providers than try to actually work out why they're issuing a false-flag on a site. don't buy. don't use. uninstall if you have it.,negative,0.402,0.0,positive,0.241,0,negative,-0.379
27203,&#34;still can't get computer to read disk&#34; don't buy it,negative,0.0,0.0,neutral,0.0,0,negative,-0.5
49205,do not buy this overpriced product that is virtually unusable. unnecessarily complicated process and doesn't even edit or convert audio. tutorials are a waste and customer service is a joke.,negative,-0.153,-0.35,negative,-0.232,0,negative,-0.616
65321,i got it because i was interested in 3d but it doesn't recognize the format i have. it doesn't work with the cartoon plug-in. i preferred  the storyboard it was easier to add transitions.,negative,0.676,0.25,positive,0.506,0,negative,-0.247
9950,could not process &#34;septic credit&#34; form for massachusetts return.  either mass dor or h&r block at fault.  had to file a manual return.  two weeks later and still have not received my refund.  software was a waste of money.,negative,-0.813,-0.1,negative,-0.528,0,negative,-0.764
61916,"don't really like it all that much.  i'm kind of a newbie and i think the software was just overkill for what i needed, which was just software to edit short videos for youtube.  imovie wasn't quite enough, but this was just too much.",negative,-0.169,0.2,neutral,-0.021,0,negative,-0.511
30255,buy a pencil and some graph paper instead.  spent hours trying grasp the basics with no luck.  instructions and demo's must be for earlier versions and don't mesh with what is displayed on the screen.  iwaste of money and time,negative,-0.357,-0.05,negative,-0.234,0,negative,-0.617
51663,the software needs a serial number to be installed and i could not find it anywhere so i just wasted my money,negative,-0.488,-0.2,negative,-0.373,0,negative,-0.686
87318,didn't advertise that you need to have 2002 federal program already installed in order for the state version to work.  what a waste of time and money.,negative,-0.422,-0.2,negative,-0.333,0,negative,-0.667
89179,it did me absolutely no good what so ever.  starting at the foundation.  don't waste your money and time. oh well.,negative,0.26,-0.183,positive,0.083,0,negative,-0.459
79808,"bought as a christmas gift for adult son.  he enjoys angry birds so i thought this would also be enjoyable.  he plays lots of different games, but couldn't figure out the goal of this one.  he doesn't play it at all",negative,0.213,0.025,positive,0.138,4,multipolarity,0.0
126165,just ask questions and give answers. if you don't already know the subject matter asking questions does not tutor you.,negative,0.026,-0.167,negative,-0.051,3,negation,0.0
10535,old format. my computer doesn't even recognize it.  i used it years ago and loved it.,negative,0.599,0.4,positive,0.519,0,negative,-0.24
26953,unable to read manual due to poor quality digital image printing is illedgible through most of the manual. totally useless waste of my money unable to use. it would cost me as much to send it back so i can not return to sender.,negative,-0.851,-0.152,negative,-0.571,0,negative,-0.786
78044,with a warning  it might not install what we expect on your computer. whose going to take a chance on possible damaging an apple with bad software...not me!,negative,-0.817,-0.437,negative,-0.665,0,negative,-0.832
29071,"this proved absolutely useless.  impossible to enter destinations.  in map mode, it depicted towns but not roads. a waste of money.",negative,0.239,-0.456,neutral,-0.039,0,negative,-0.52
2147,"spyware. tried it, hate it. privacy is the main issue - win 10 tracks everything i do. it is win 7 + 8 mashed together, why bother upgrading to this.",negative,0.361,0.242,positive,0.313,0,negative,-0.343
47359,"the program is much more cumbersome to use and is slower in making entries.  there area few improvements that apply to my usage.  in other words, it was a waste of money to buy the upgrade.  i was happier with the old version.",negative,0.44,0.015,positive,0.27,0,negative,-0.365
132137,"it is a great product, but be aware. the packages doesn't tell you, but the license you agree at installation gives you only rights for personal use. no commercial usage or usage on commercial/company web sites allowed!",negative,0.509,0.21,positive,0.389,4,multipolarity,0.0
82667,i bought this game and when i installed it .it did not work on my computer it keep reading a message says mem_bad_pointer when i tryed to play it,negative,0.34,-0.4,neutral,0.044,3,negation,0.0
128270,no instructions. no technical support. it is worthless!! i don't understand why valusoft is selling this product. its a huge rip off.,negative,-0.58,-0.2,negative,-0.428,0,negative,-0.714
11644,this product you sent was for south american and central america or the caribbean islands. this means we had to call microsoft for every copy we purchased and enter the key. what a waste a time!,negative,-0.475,-0.062,negative,-0.31,0,negative,-0.655
81089,"please don't waste your money on this thing, you can get it for free if you know how to use google or any other search engine. $12 for a linux distro is crazy. it costs this person like $2 per cd to distribute software that they didn't write.",negative,0.792,-0.131,positive,0.423,0,negative,-0.289
60653,really disappointed with the lack of end game. leveling seemed pretty linear. didn't have much to offer after doing all the quests. doesn't have a colorblind mode.,negative,-0.36,-0.175,negative,-0.286,0,negative,-0.643
133723,do not buy this it is not what it used to be. dont waste your money!!!!!,negative,0.542,-0.61,positive,0.081,0,negative,-0.459
34934,"doesn't work on/with new macbooks.  avoid if this is your preferred platform.  had to return it, unfortunately.",negative,-0.557,-0.182,negative,-0.407,0,negative,-0.704
125947,sounded like just the ticket. a new imac with osx run by an intlel chip that needed an upgrade to run pagemaker. only problem it doesn't run on new imac.  not clearly explained before purchase.,negative,-0.352,0.056,negative,-0.189,0,negative,-0.594
76449,"friday night poker hangs up or locks up - in my opinion,  not worth 2 cents<br />best not to waste my money on this - not happy",negative,0.434,-0.25,positive,0.16,0,negative,-0.42
10568,a huge waste of time!!!!! if you enjoy being frustrated and constantly losing your data then this is the program for you!,negative,-0.667,-0.102,negative,-0.441,0,negative,-0.72
113092,"i bought a new lacie external hard drive, and this software came with it. quite simply, it doesn't work. i had multiple crashes, out of memory messages etc. steer clear. i now use syncback se, and it works just fine.",negative,0.459,0.052,positive,0.296,0,negative,-0.352
108439,i tried to make avchd disk. the video quality is so poor. pinnacle tech support does not have any solution for it. bad quality of the software.,negative,-0.775,-0.55,negative,-0.685,0,negative,-0.842
52043,"i hate it because it suppost to fix my computer of viruses, but the computer still has viruses over viruses this product didn't help at all !!!",negative,-0.728,-1.0,negative,-0.837,0,negative,-0.918
70779,this was supposed to be a 5th edition but it will not play on my computer and i don't have any old ones sitting around.  waste of money if you don't have an old computer!,negative,-0.761,0.008,negative,-0.453,0,negative,-0.727
73738,was not what i expected ... i wasted my money on this one...still will try other products in the future,negative,-0.494,-0.106,negative,-0.339,0,negative,-0.669
14214,"nooo... its is very bad, awful enviroment, graphics, bad quality in images, the content is really stupid...",negative,-0.936,-0.852,negative,-0.902,0,negative,-0.951
72207,computer repair tech said it was useless and i wasted my money on it! i  give it a zero star rating.,negative,-0.742,-0.375,negative,-0.595,0,negative,-0.798
123274,copy commander is horrible software and poorly documented! it wrecked both my primary and backup hard drives!,negative,-0.669,-0.366,negative,-0.548,0,negative,-0.774
81524,"was unable to download to my computer, so me was a waste of money. my computer stated no compatibility and i checked and the box stated i am able to use, but after several tries i just gave up.",negative,-0.361,-0.06,negative,-0.241,0,negative,-0.62
27448,bought it but was unable to install. i don't know where it disappeared to on my computer.,negative,-0.329,-0.5,negative,-0.397,0,negative,-0.699
132669,"do not buy the book. it will waste your money, at the end you will get very angry. it does not teach you at all.",negative,-0.75,-0.425,negative,-0.62,0,negative,-0.81
93263,make sure you have the internet for your computer you are putting this on. i'm in the process of contacting their customer support b/c i don't have the internet on my pc only on our cell phones.,negative,0.612,0.25,positive,0.467,0,negative,-0.266
66067,"how can a product get worse with every release?.  this sad excuse for a burn suite can't even do differential backups to disc despite claims to the contrary.  unfortunately the only alternative i'm aware of, roxio, is as bad or worse.",negative,-0.937,-0.288,negative,-0.677,0,negative,-0.839
4251,ill conceived concept of absolute no use to a serious writer. don't waste your time or money. don't pass go or collect $200 dollars. save money and purchase scrivener.,negative,0.06,-0.208,neutral,-0.047,0,negative,-0.524
132080,"copyprotection isn't a right when the company installs &quot;hidden, unremovable&quot; software on *my* computer.<br />the software they install is no better than a virus!<br />teach them a lesson; don't by software from intuit any more!",negative,-0.457,0.22,negative,-0.186,0,negative,-0.593
97492,"i have owned a bicycle card game program in the past and was expecting a new and better version. i was very disappointed. used the game once and won't reload. bad lay out for games, what a waste of money.",negative,-0.114,-0.286,negative,-0.183,0,negative,-0.591
14032,"absolute junk, did not work... its not like shown in the picture either. just a big waste of money",negative,-0.601,0.0,negative,-0.361,0,negative,-0.68
52609,"great if your an 8 year old. stupid story, bad graphics.same old same old. run around and find stupid objects.",negative,-0.735,-0.15,negative,-0.501,0,negative,-0.75
66840,programing out of date i did not read it well my bad the games are slow no fun dont buy,negative,-0.792,-0.383,negative,-0.628,3,negation,0.0
6592,didn't like it.  microsoft money is better.  don't use it anymore.,negative,0.2,0.5,positive,0.32,0,negative,-0.34
70183,"i couldn't get this  to work on my computer so i can't really say whether i liked it or not, but i hate the fact that it won't run on my computer.  'nuff said.",negative,0.709,0.0,positive,0.425,0,negative,-0.287
78574,"i have yet to get this loaded.  i couldn't do and three microsoft technicians have succeeded.  i don't see how it could be the product key's issues, but it has been a lot of hassle.",negative,0.226,0.0,positive,0.136,4,multipolarity,0.0
9897,it doesn't work on my mac.  very disappointed.,negative,-0.526,-0.975,negative,-0.706,0,negative,-0.853
133915,"i own this product, i bought it to learn german for a vaction i was going to take.  i learned nothing from this software. dont waste your money. buy a book, like the idots guide to german, that is much better than this product.",negative,0.774,0.18,positive,0.536,0,negative,-0.232
127664,"okay, that may be stretching it but be aware that this program could cause major heartaches. it cost me about eight hours of my time. the company gave me no help.i am sorry to write a bad review. i uninstalled it and sooo wish i had not tried it.",negative,-0.612,-0.077,negative,-0.398,4,multipolarity,0.0
112632,do not waste your money on this - it does not work!! asks for a registration number that is not provided and you can't return it because you do not know this until the package is opened.,negative,0.497,0.156,positive,0.361,0,negative,-0.32
77835,i have been using this program for years<br /><br />i don't know what happened  registry  mechanic changed all my urls on my computer<br /><br />what does that mean i don't know but i had to uninstall it<br /><br />that is just the honest truth ?,negative,0.813,0.144,positive,0.545,5,sarcasm,0.0
53645,"i was expecting a tutorial, i got an add, and a short one at that. don't buy this scam or you'll be like me, a sucker!",negative,-0.763,-0.188,negative,-0.533,0,negative,-0.766
111957,you cannot even create a budget in this edition.  horrible.  what use is tracking your expenses if you cannot even see if you are spending too much in an area.  do not buy this.  quicken has really really fallen off.,negative,-0.812,-0.2,negative,-0.567,0,negative,-0.784
19542,if you are purchasing this item for designing with cameo silhouette...don't..  you have to buy the full version.,negative,0.0,0.35,positive,0.14,0,negative,-0.43
52344,"the week after i purchased this from amazon, i saw that adobe reduced the price by $50.  i got no response when i wrote adobe.  sorry i ever ordered it.  sorry i opened it.  i am so soured by this, i don't even want to look at it.",negative,-0.323,-0.433,negative,-0.367,0,negative,-0.684
40895,this is not a genuine windows7 copy. the product key expired after 1 month and is no longer valid. wasted $100 and could have bought at lesser price through microsoft.,negative,-0.66,-0.1,negative,-0.436,0,negative,-0.718
107848,"horrid..........like it was made in a head start game development learning lab and thats being kind.  this is the worse product ever, graphics are horrible, wont learn a thing but maybe go blind from looking at the crazy colors and graphics",negative,-0.829,-0.383,negative,-0.651,0,negative,-0.825
24708,what a waste of money!  this will not support a cash management account.  several inquiries to quicken result in no solutions to make the product work.  others have asked for help and no responses for at least two months.  terrible customer support.,negative,-0.697,-0.388,negative,-0.573,0,negative,-0.787
37437,i have windows 8 and cd would not open. i wasted my money.,negative,0.388,-0.1,positive,0.193,0,negative,-0.404
114958,we have xp and can't get it to work.   this is the third piece of software that i have bought that says it will work on all those systems and it doesn't.,negative,0.382,0.0,positive,0.229,0,negative,-0.385
54343,i was very disappointed with the products performance this time. didn't work as expected and actually caused me problems with my computer that took me a long time to fix. don't recommend this product for 2013.,negative,-0.802,-0.281,negative,-0.594,0,negative,-0.797
110032,when our man instakked it we found that it had no email site!!  we have to use our cox email and we hate it.  you would think any program entitled home and student would have email capacity.  we feel cheated.,negative,-0.826,-0.8,negative,-0.816,0,negative,-0.908
66142,"just come for one cd without an apple serial number, i don't really see how this product can be useful, speakless",negative,0.494,0.25,positive,0.396,0,negative,-0.302
12357,get signature bundle i wish i would have not bad if you can find plug ins for it .....good product im happy.....fast shipping,negative,0.815,0.35,positive,0.629,1,neutral,-0.019
128990,i have 1.5 gigs of ram on a less-than-year-old hp computer and all this progam does is crash. what a waste of 99.00.  i should have heeded the warning of all of those 1-star ratings this junk got.,negative,-0.784,-0.2,negative,-0.55,0,negative,-0.775
5870,introduced keycode 3 times and didn't work. don't buy these,negative,0.0,0.0,neutral,0.0,0,negative,-0.5
16295,"doesn't import illustrator files properly as advertised, very disappointed!",negative,-0.57,-0.5,negative,-0.542,0,negative,-0.771
75358,"it is a very very old versaion. it did not meet my expectation. i have not been notified that it is that old. i hate this rerview, i cant type that many words. i hate it, i hate it, i wish i cant retrurn it. i hate it ihate it",negative,-0.92,-0.353,negative,-0.693,0,negative,-0.847
10023,this program is a piece of junk. hallmark cut so many corners you don't want to use it. that is when you can even find a card worth printing. stay away. you will not be happy with this for the money.,negative,-0.53,0.533,negative,-0.105,0,negative,-0.552
74478,does not work in windows 8. install stops as the install detects i don't have sufficient space to install on my dvd drive? and thats not even the install path!,negative,-0.224,0.0,negative,-0.134,0,negative,-0.567
111203,"it's a game based on time. it's very easy to killed the bad guys, but you have to run through it. if you take your time you want  advance to the next mission. to me it is a worthless shooter game. save your money and don't buy it.....",negative,-0.281,-0.277,negative,-0.279,0,negative,-0.64
130504,"like the other reviewers said, this product doesn't work if you already have an old version installed. tried several times, could never get it working properly. finally gave up.",negative,0.361,-0.006,positive,0.214,0,negative,-0.393
53034,"horrible, horrible, horrible customer service.  add to that the software does not work correctly and has no compatibility with previous versions.  not recommended.",negative,-0.923,-0.792,negative,-0.871,0,negative,-0.935
113429,"expensive, doesn't work, crashes constantly.  save yourself the aggravation.  personally, i plan on avoiding anything this company puts out in the future.",negative,0.202,-0.125,positive,0.071,0,negative,-0.464
108235,there is no longer product support for this product.  you cannot even get a replacement disc for the bad disc.  very dissatisfied.,negative,-0.709,-0.25,negative,-0.525,0,negative,-0.763
112413,if the product doesn't install (and mine didn't) and you seek techinal support...forget it. the manufacturers website is a shell which provides no functional interface. the item is absolutely worthless.,negative,-0.659,-0.8,negative,-0.715,0,negative,-0.858
59645,"never figured out what this software is for...<br />thought i was buying adobe photoshop<br />it is not, wasted my money.",negative,0.388,0.1,positive,0.273,0,negative,-0.364
131334,don't waste your time or money with this product. been there - done that - product doesn't work well - no support - tricky online upgrades that cost $.  get a real product from a honest company such as norton antispam.,negative,0.241,0.15,positive,0.205,0,negative,-0.398
27561,"not bad however i have all the same games in another version,  a little disappointing",negative,-0.015,-0.109,negative,-0.053,3,negation,0.0
96367,this didn't work my computer got a virus and crashed.  i don't use norton anymore.  their answer was &#34;we can't stop every virus&#34;.,negative,0.224,0.0,positive,0.134,0,negative,-0.433
87357,"only has images, one font and that's it. i am really disappointed and i don't recommend this cd for that price.",negative,-0.671,-0.375,negative,-0.553,0,negative,-0.776
98648,my son was excited to get this adn it frezzes up and just doesn't work right. i don't know if its my laptop or the dics there were three of them and none of them work properly.,negative,0.34,0.22,positive,0.292,0,negative,-0.354
82027,doesn't really have any selection in what you can use for sounds and music. i'd definitely go for another music making product before this one.,negative,0.402,0.1,positive,0.281,1,negative,-0.193
105963,"it works decently, however the 'graphical' interface looks to be from the early 90's.  it's horrible.  to the point it looks amateurish and imbarrasing.      i'm not happy it came with my new expensive scanner.  i'd expect a lot more.",negative,-0.758,-0.175,negative,-0.525,0,negative,-0.762
45139,it did not come on a cd.so if my program goes bad i can not redue it. not friendy at all,negative,-0.542,-0.7,negative,-0.605,3,negation,0.0
32986,absolutely horrible<br />didn't do anything<br />don't buy please<br />can i return this?,negative,0.0,0.2,positive,0.08,0,negative,-0.46
19165,they should have not messed with the programs from years past. if they truly care about their customers they will change them back. i like turbotax and hate to change but will if i have too.,negative,0.453,-0.35,positive,0.132,4,multipolarity,0.0
96669,i tried installing the cd on both the mac pro and imac both time it didn;t work why i don't know,negative,0.0,0.0,neutral,0.0,0,negative,-0.5
93547,i wouldnt ever waste my time buying from this company again. fuse blew in less than 2 minutes of use. not the product advertised and horrible product to buy. dont even waste your money on this!,negative,0.117,-0.404,negative,-0.091,0,negative,-0.546
17502,i had to return this because it did not work. the instructions did not match what happened when i followed them. i could not contact the seller for advice. i got this for my mac so i don't know if the pc version is better.,negative,0.44,0.5,positive,0.464,3,negation,0.0
39315,took me a week to get the package and my key code doesn't even work!!,negative,0.0,0.0,neutral,0.0,0,negative,-0.5
30838,this product would not open on my brand new hp windows computer. complete waste of money and time,negative,-0.422,0.009,negative,-0.25,0,negative,-0.625
44226,i purchased this disc and it was a waste of time bidding receive the disc shown it was a burn copy and had no id code and when i called windows on it they said that the disc is a counterfeits disc and paid all that money for nothing.,negative,-0.612,-0.2,negative,-0.447,0,negative,-0.724
34437,i have no idea where is the problem i download it and it's working but it's not producting my computer from viruse it's like i don't have auntiviurse,negative,0.202,0.0,positive,0.121,0,negative,-0.439
3555,not any better than free version. no real time protection. when subscription is over will sabotage your computer to make you think you really need it. so it in itself is a virus. don't wast your money,negative,-0.573,0.25,negative,-0.244,0,negative,-0.622
50158,doesn't work effectively.  i just lost 2 years worth of journal as an upgrade wiped all my files. yes i did read the instructions ands no i'm not computer illiterate. but i would like to share a frank exchange of views with the developer!,negative,0.69,0.488,positive,0.609,0,negative,-0.195
121,don't work the way advertised.,negative,0.0,0.0,neutral,0.0,0,negative,-0.5
17804,"this software will not burn mp4s to dvd. if that is what you are looking for,(do not waste your money).as far as everything else is concerned i don't know since i haven't tried it. but it definitely doesn't burn mp4 to dvd.",negative,0.639,0.067,positive,0.41,0,negative,-0.295
24391,it moved the program but the program doesn't work now :(,negative,0.478,-0.75,neutral,-0.013,0,negative,-0.507
14,can't use need a product key this cd don't come with one need windows 8 with product key,negative,0.0,0.0,neutral,0.0,0,negative,-0.5
24017,doesn't work well with windows 7.,negative,-0.206,0.0,negative,-0.124,0,negative,-0.562
104385,"the game came in great condition at all, but it's so old it doesn't work on my gfs computer, and it runs on mine but without any sound.",negative,0.372,0.225,positive,0.313,0,negative,-0.343
71192,did not have a chance to try it because it doesn't run on the newer computers.  very disappointed that there is not a new version.,negative,-0.629,-0.522,negative,-0.586,0,negative,-0.793
103535,"don't waste your money. these logos are very unprofessional & lack quality. buyer beware return policy is unaccomodating, so i wasted my money.",negative,-0.808,-0.067,negative,-0.512,0,negative,-0.756
46605,could not get it to work on my computer.  not the computer because i purchased others at the same time and they work.  i've tried several times and it just doesn't work.,negative,0.0,0.0,neutral,0.0,0,negative,-0.5
69265,it is just a waste of money it lags and delays and the colors merge it just really sucks badly,negative,-0.888,-0.4,negative,-0.693,0,negative,-0.846
36723,this software doesn't work and has been sitting unused since purchase.,negative,0.0,0.0,neutral,0.0,0,negative,-0.5
1530,"i would recommend borderlands or fallout 3 instead. this game is the bastard child of those 2 anyway, but doesn't carry you through the story like the other two. play only if you really need an apocalyptic gaming fix.",negative,-0.391,-0.081,negative,-0.267,4,multipolarity,0.0
76661,i bought this product mainly for my kids' tablet but it can't be installed if the tablet doesn't support google play. im not a tech person but couldn't they have stated that it needs google play to work.,negative,-0.327,0.167,negative,-0.129,0,negative,-0.565
6842,it didn't work for me but the game is 10 years old waste of five bucks but i bought dirt3 bad a$$ game,negative,-0.857,-0.32,negative,-0.642,0,negative,-0.821
78485,"i followed all instructions on the disc. nothing, will not load . tried on three different computers still nothing, total waste of money",negative,0.371,-0.067,positive,0.196,0,negative,-0.402
117039,i have yet to be able to print out a list of samples.  to see a sample you have to select a font from an unreadable list of strange names that do not have anything to do with what the font looks like.  hate this stupid program!,negative,-0.771,-0.337,negative,-0.597,0,negative,-0.799
